,vintage.id,vintage.wine.winery.seo_name,vintage.wine.winery.name,vintage.wine.name,vintage.year,vintage.statistics.ratings_average,vintage.wine.region.name,vintage.wine.region.seo_name,vintage.wine.style.region.seo_name
1,1467748,cheval-blanc,Château Cheval Blanc,Le Petit Cheval Saint-Émilion Grand Cru,2006,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
2,3669266,chateau-pavie-macquin,Château Pavie Macquin,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2012,4.2,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
3,19292630,chateau-calon-segur,Château Calon-Ségur,Marquis de Calon Saint-Estèphe,2015,3.9,Saint-Estèphe,saint-estephe,bordeaux
4,94721143,chateau-d-issan,Château d'Issan,Blason d'Issan Margaux,2016,4.0,Margaux,margaux,bordeaux
5,18302119,chateau-smith-haut-lafitte,Château Smith Haut-Lafitte,Pessac-Léognan (Grand Cru Classé de Graves),2015,4.3,Pessac-Léognan,pessac-leognan,bordeaux
6,15972675,vieux-telegraphe,Domaine du Vieux Télégraphe,Châteauneuf-du-Pape (La Crau),2015,4.4,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
7,117505901,chateau-mazeyres,Château Mazeyres,Pomerol,2016,4.1,Pomerol,pomerol,bordeaux
8,86368541,chateau-palmer,Château Palmer,Margaux (Grand Cru Classé),2016,4.7,Margaux,margaux,bordeaux
9,147403377,fr-chateau-pape-clement,Château Pape Clément,Pessac-Léognan Blanc,2016,4.1,Pessac-Léognan,pessac-leognan,bordeaux
10,135604050,fr-chateau-pape-clement,Château Pape Clément,Pessac-Léognan (Grand Cru Classé de Graves),2016,4.3,Pessac-Léognan,pessac-leognan,bordeaux
11,142448804,sansonnet,Château Sansonnet,Saint-Émilion Grand Cru (Grand Cru Classé),2016,4.0,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
12,94288357,chateau-smith-haut-lafitte,Château Smith Haut-Lafitte,Pessac-Léognan (Grand Cru Classé de Graves),2016,4.4,Pessac-Léognan,pessac-leognan,bordeaux
13,112276831,chateau-phelan-segur,Château Phélan Ségur,Saint-Estèphe,2016,3.9,Saint-Estèphe,saint-estephe,bordeaux
14,124417661,chateau-pavie-macquin,Château Pavie Macquin,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2016,4.3,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
15,4451656,chateau-beychevelle,Château Beychevelle,Saint-Julien (Grand Cru Classé),2014,4.2,Saint-Julien,saint-julien,bordeaux
16,90223942,chateau-lynch-bages,Château Lynch-Bages,Pauillac (Grand Cru Classé),2016,4.4,Pauillac,pauillac,bordeaux
17,1125473,louis-roederer,Louis Roederer,Cristal Brut Champagne (Millésimé),2008,4.6,Champagne,champagne,champagne
18,1782236,clos-l-eglise-pomerol,Clos l'Eglise,Pomerol,2005,4.4,Pomerol,pomerol,bordeaux
19,6355188,vieux-chateau-certan,Vieux Château Certan,Pomerol,2014,4.5,Pomerol,pomerol,bordeaux
20,150782699,chateau-guiraud,Château Guiraud,Le G de Guiraud Bordeaux Blanc Sec,2017,3.8,Bordeaux,bordeaux,bordeaux
21,156135451,domaine-de-la-janasse,Domaine de la Janasse,Côtes du Rhône Rouge,2018,3.7,Côtes-du-Rhône,cotes-du-rhone,rhone
22,145441650,chateau-rieussec,Château Rieussec,R de Rieussec,2016,3.8,Bordeaux,bordeaux,bordeaux
23,5677114,fr-cosse-maisonneuve,Cosse Maisonneuve,Le Combal Cahors,2014,3.7,Cahors,cahors,cotes-du-roussillon
24,1430230,pavie,Château Pavie,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2000,4.6,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
0,150782699,chateau-guiraud,Château Guiraud,Le G de Guiraud Bordeaux Blanc Sec,2017,3.8,Bordeaux,bordeaux,bordeaux
1,156135451,domaine-de-la-janasse,Domaine de la Janasse,Côtes du Rhône Rouge,2018,3.7,Côtes-du-Rhône,cotes-du-rhone,rhone
2,145441650,chateau-rieussec,Château Rieussec,R de Rieussec,2016,3.8,Bordeaux,bordeaux,bordeaux
